BytesSentBytesSent,送信データData Out,BytesBytes,合計Total,送信データData Out,インスタンスInstance,,,,,,,
,,,,,,,,,,,,
Microsoft.Web/sites (関数を除く)Microsoft.Web/sites (excluding functions),,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
CpuTimeCpuTime,CPU 時間CPU Time,SecondsSeconds,合計Total,CPU 時間CPU Time,インスタンスInstance,,,,,,,
RequestsRequests,RequestsRequests,CountCount,合計Total,RequestsRequests,インスタンスInstance,,,,,,,
BytesReceivedBytesReceived,受信データData In,BytesBytes,合計Total,受信データData In,インスタンスInstance,,,,,,,
BytesSentBytesSent,送信データData Out,BytesBytes,合計Total,送信データData Out,インスタンスInstance,,,,,,,
Http101Http101,Http 101Http 101,CountCount,合計Total,Http 101Http 101,インスタンスInstance,,,,,,,
Http2xxHttp2xx,HTTP 2xxHttp 2xx,CountCount,合計Total,HTTP 2xxHttp 2xx,インスタンスInstance,,,,,,,
Http3xxHttp3xx,HTTP 3xxHttp 3xx,CountCount,合計Total,HTTP 3xxHttp 3xx,インスタンスInstance,,,,,,,
Http401Http401,HTTP 401Http 401,CountCount,合計Total,HTTP 401Http 401,インスタンスInstance,,,,,,,
Http403Http403,HTTP 403Http 403,CountCount,合計Total,HTTP 403Http 403,インスタンスInstance,,,,,,,
Http404Http404,HTTP 404Http 404,CountCount,合計Total,HTTP 404Http 404,インスタンスInstance,,,,,,,
Http406Http406,HTTP 406Http 406,CountCount,合計Total,HTTP 406Http 406,インスタンスInstance,,,,,,,
Http4xxHttp4xx,HTTP 4xxHttp 4xx,CountCount,合計Total,HTTP 4xxHttp 4xx,インスタンスInstance,,,,,,,
Http5xxHttp5xx,HTTP サーバー エラーHttp Server Errors,CountCount,合計Total,HTTP サーバー エラーHttp Server Errors,インスタンスInstance,,,,,,,
MemoryWorkingSetMemoryWorkingSet,メモリ ワーキング セットMemory working set,BytesBytes,平均Average,メモリ ワーキング セットMemory working set,インスタンスInstance,,,,,,,
AverageMemoryWorkingSetAverageMemoryWorkingSet,平均メモリ ワーキング セットAverage memory working set,BytesBytes,平均Average,平均メモリ ワーキング セットAverage memory working set,インスタンスInstance,,,,,,,
AverageResponseTimeAverageResponseTime,平均応答時間Average Response Time,SecondsSeconds,平均Average,平均応答時間Average Response Time,インスタンスInstance,,,,,,,
AppConnectionsAppConnections,ConnectionsConnections,CountCount,平均Average,ConnectionsConnections,インスタンスInstance,,,,,,,
HandlesHandles,ハンドルの数Handle Count,CountCount,平均Average,ハンドルの数Handle Count,インスタンスInstance,,,,,,,
ThreadsThreads,Thread CountThread Count,CountCount,平均Average,Thread CountThread Count,インスタンスInstance,,,,,,,
PrivateBytesPrivateBytes,Private BytesPrivate Bytes,BytesBytes,平均Average,Private BytesPrivate Bytes,インスタンスInstance,,,,,,,
IoReadBytesPerSecondIoReadBytesPerSecond,IO 読み取りバイト/秒IO Read Bytes Per Second,BytesPerSecondBytesPerSecond,合計Total,IO 読み取りバイト/秒IO Read Bytes Per Second,インスタンスInstance,,,,,,,
IoWriteBytesPerSecondIoWriteBytesPerSecond,IO 書き込みバイト/秒IO Write Bytes Per Second,BytesPerSecondBytesPerSecond,合計Total,IO 書き込みバイト/秒IO Write Bytes Per Second,インスタンスInstance,,,,,,,
IoOtherBytesPerSecondIoOtherBytesPerSecond,IO その他のバイト/秒IO Other Bytes Per Second,BytesPerSecondBytesPerSecond,合計Total,IO その他のバイト/秒IO Other Bytes Per Second,インスタンスInstance,,,,,,,
IoReadOperationsPerSecondIoReadOperationsPerSecond,IO 読み取り操作/秒IO Read Operations Per Second,BytesPerSecondBytesPerSecond,合計Total,IO 読み取り操作/秒IO Read Operations Per Second,インスタンスInstance,,,,,,,
IoWriteOperationsPerSecondIoWriteOperationsPerSecond,IO 書き込み操作/秒IO Write Operations Per Second,BytesPerSecondBytesPerSecond,合計Total,IO 書き込み操作/秒IO Write Operations Per Second,インスタンスInstance,,,,,,,
IoOtherOperationsPerSecondIoOtherOperationsPerSecond,IO その他の操作/秒IO Other Operations Per Second,BytesPerSecondBytesPerSecond,合計Total,IO その他の操作/秒IO Other Operations Per Second,インスタンスInstance,,,,,,,
RequestsInApplicationQueueRequestsInApplicationQueue,アプリケーション キュー内の要求数Requests In Application Queue,CountCount,平均Average,アプリケーション キュー内の要求数Requests In Application Queue,インスタンスInstance,,,,,,,
CurrentAssembliesCurrentAssemblies,現在のアセンブリCurrent Assemblies,CountCount,平均Average,現在のアセンブリCurrent Assemblies,インスタンスInstance,,,,,,,
TotalAppDomainsTotalAppDomains,アプリ ドメイン合計数Total App Domains,CountCount,平均Average,アプリ ドメイン合計数Total App Domains,インスタンスInstance,,,,,,,
TotalAppDomainsUnloadedTotalAppDomainsUnloaded,アンロード済みのアプリ ドメイン合計数Total App Domains Unloaded,CountCount,平均Average,アンロード済みのアプリ ドメイン合計数Total App Domains Unloaded,インスタンスInstance,,,,,,,
Gen0CollectionsGen0Collections,Gen 0 ガベージ コレクションGen 0 Garbage Collections,CountCount,合計Total,Gen 0 ガベージ コレクションGen 0 Garbage Collections,インスタンスInstance,,,,,,,
Gen1CollectionsGen1Collections,Gen 1 ガベージ コレクションGen 1 Garbage Collections,CountCount,合計Total,Gen 1 ガベージ コレクションGen 1 Garbage Collections,インスタンスInstance,,,,,,,
Gen2CollectionsGen2Collections,Gen 2 ガベージ コレクションGen 2 Garbage Collections,CountCount,合計Total,Gen 2 ガベージ コレクションGen 2 Garbage Collections,インスタンスInstance,,,,,,,
,,,,,,,,,,,,
Microsoft.Web/sites (関数)Microsoft.Web/sites (functions),,,,,,,,,,,,
,,,,,,,,,,,,
メトリックMetric,メトリックの表示名Metric Display Name,単位Unit,集計の種類Aggregation Type,説明Description,DimensionsDimensions,,,,,,,
BytesReceivedBytesReceived,受信データData In,BytesBytes,合計Total,受信データData In,インスタンスInstance,,,,,,,
BytesSentBytesSent,送信データData Out,BytesBytes,合計Total,送信データData Out,インスタンスInstance,,,,,,,
Http5xxHttp5xx,HTTP サーバー エラーHttp Server Errors,CountCount,合計Total,HTTP サーバー エラーHttp Server Errors,インスタンスInstance,,,,,,,
MemoryWorkingSetMemoryWorkingSet,メモリ ワーキング セットMemory working set,BytesBytes,平均Average,メモリ ワーキング セットMemory working set,インスタンスInstance,,,,,,,
AverageMemoryWorkingSetAverageMemoryWorkingSet,平均メモリ ワーキング セットAverage memory working set,BytesBytes,平均Average,平均メモリ ワーキング セットAverage memory working set,インスタンスInstance,,,,,,,
FunctionExecutionUnitsFunctionExecutionUnits,関数の実行単位Function Execution Units,MB/ミリ秒MB / Milliseconds,合計Total,関数の実行単位Function Execution Units,インスタンスInstance,,,,,,,
FunctionExecutionCountFunctionExecutionCount,関数の実行回数Function Execution Count,CountCount,合計Total,関数の実行回数Function Execution Count,インスタンスInstance,,,,,,,
PrivateBytesPrivateBytes,Private BytesPrivate Bytes,BytesBytes,平均Average,Private BytesPrivate Bytes,インスタンスInstance,,,,,,,
IoReadBytesPerSecondIoReadBytesPerSecond,IO 読み取りバイト/秒IO Read Bytes Per Second,BytesPerSecondBytesPerSecond,合計Total,IO 読み取りバイト/秒IO Read Bytes Per Second,インスタンスInstance,,,,,,,
IoWriteBytesPerSecondIoWriteBytesPerSecond,IO 書き込みバイト/秒IO Write Bytes Per Second,BytesPerSecondBytesPerSecond,合計Total,IO 書き込みバイト/秒IO Write Bytes Per Second,インスタンスInstance,,,,,,,
